r35,0.9684756211470203
r15,0.9672631059688775
r25,0.9670579501693499
r53,0.9647861012516346
r51,0.9643930221086148
r45,0.9642747958247805
r54,0.962527842075381
r52,0.9620934440681111
r34,0.9554015230972684
r24,0.955188038060716
r21,0.9542194485842027
r43,0.952437411646678
r14,0.9515252454417953
r13,0.951479068023065
r41,0.9509554698457223
r23,0.9506922516395434
r42,0.9500226551880381
r32,0.9481661403934905
r12,0.9480719076005961
r31,0.9476817776944353
r22,0.5263437228601756
r55,0.5217158176943699
r33,0.5216689493249853
r11,0.5211990278152849
r44,0.5201161698129324
